Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
20-OCT-2023,15087.15,15111.85,14923.95,14963.1,844756811,15124.17
23-OCT-2023,14972.95,14999.8,14512.2,14557.1,1066615062,17337.63
25-OCT-2023,14606.75,14653.05,14326.5,14470.25,979466578,15054.7
26-OCT-2023,14390.3,14400,14133.3,14305.25,960910494,16790.12
27-OCT-2023,14399,14561.9,14398.85,14513.7,764476724,13180.01
30-OCT-2023,14547.65,14557.8,14403,14533.4,956651979,13981.68
31-OCT-2023,14607.35,14658.95,14556.15,14566.3,763612332,11938.2
01-NOV-2023,14604.15,14612.95,14529.2,14545.1,1399723763,12856.09
02-NOV-2023,14638.9,14729.55,14637.5,14718.5,1159913060,14581.74
03-NOV-2023,14813.65,14841.25,14780.45,14819.1,1187969938,13642.71
06-NOV-2023,14917,14964.7,14887.9,14953.75,691089759,14111.35
07-NOV-2023,14987.6,15023.7,14940.4,14994.1,797451561,14578.86
08-NOV-2023,15070.45,15149.7,15066,15138.7,1056308113,15339.04
09-NOV-2023,15174.15,15199.8,15132,15142.8,1158419453,15175.49
10-NOV-2023,15136.45,15212.9,15058.2,15199.15,821293508,12717.43
12-NOV-2023,15322.4,15342.15,15287,15298.95,188498587,2337.14
13-NOV-2023,15284.85,15309.7,15223.15,15292.2,1165777456,15202.77
15-NOV-2023,15425.8,15434.75,15378.05,15424.75,1366704742,17852.25
16-NOV-2023,15450.65,15567.15,15432.55,15532.8,956696952,14543.42
17-NOV-2023,15520.15,15601.75,15492.9,15586.1,1545859953,19071.77
20-NOV-2023,15628.4,15654.4,15562.8,15589.7,1103502936,15630.82
21-NOV-2023,15650.7,15663.8,15583.25,15595.1,867939634,14971.27
22-NOV-2023,15623.45,15645.4,15511,15625.85,844406309,15647.4
23-NOV-2023,15677.75,15687.2,15633.65,15641.6,750497533,12893.39
24-NOV-2023,15679,15708.3,15652.35,15673.5,819282387,17649.13
28-NOV-2023,15733.9,15745.55,15680.75,15734.35,1006065793,20074.05
29-NOV-2023,15814.5,15853.9,15808.45,15838.85,920025689,19039.55
30-NOV-2023,15873.6,15990.05,15796.25,15963.25,1782378190,49713.49
01-DEC-2023,16043.4,16127.95,16034.75,16104.8,963084722,21052.13
04-DEC-2023,16362,16370.8,16223.2,16302.45,1128722267,22956.15
05-DEC-2023,16364.4,16392.75,16214.4,16364.1,1097681075,22125.07
06-DEC-2023,16431.2,16460,16308.25,16389.05,987328676,21920.83
07-DEC-2023,16417.15,16489.45,16322.85,16479.85,1214864699,21836.18
08-DEC-2023,16534.25,16560.65,16322.2,16447.95,1492573491,23184.73
11-DEC-2023,16502.2,16571.65,16472.05,16560.5,1524215323,21386.74
12-DEC-2023,16621.45,16631.2,16410.2,16490.5,1735891162,28446.34
13-DEC-2023,16543.85,16647.9,16457.95,16629.55,1634100700,24189.94
14-DEC-2023,16749.8,16832.25,16724.1,16813.75,2129015432,30071.06
15-DEC-2023,16907,16916.5,16826.9,16850.05,1777009853,30355.23
18-DEC-2023,16874.5,16938.55,16771.3,16902.45,1648560169,21482.86
19-DEC-2023,16946.5,16957.6,16769.85,16836.75,1475393630,21331.49
20-DEC-2023,16922.4,16982.85,16265.2,16323.9,1905560302,29802.16
21-DEC-2023,16181.6,16579.6,16066.85,16560.65,1523132430,23749.78
22-DEC-2023,16661.35,16737.6,16575.5,16693,1112996176,19724.14
26-DEC-2023,16761.8,16826.7,16712.05,16787,977432773,18558.92
27-DEC-2023,16873.5,16932.4,16775.9,16852.45,760450181,18294.6
28-DEC-2023,16909.4,16944.55,16848.4,16933.75,1088675654,22603.97
29-DEC-2023,16972.9,17102.4,16907.6,17077.05,2735973623,23766.47
01-JAN-2024,17135,17229,17104.85,17174,3005367489,20630.56
02-JAN-2024,17214.95,17238,16961.25,17148.1,2456015603,24277.2
03-JAN-2024,17176.85,17232.3,17082.6,17189.95,1764537582,21760.76
04-JAN-2024,17264.7,17454.9,17259.4,17443.75,1523982033,23253.88
05-JAN-2024,17525.15,17575.65,17376.55,17499.65,2126225718,24231.3
08-JAN-2024,17550.85,17560.25,17334.45,17350.55,2015873594,22227.32
09-JAN-2024,17472.85,17517.95,17356.25,17382,1877882513,26319.89
10-JAN-2024,17411.85,17433.5,17251.65,17425.35,1699922723,23340.02
11-JAN-2024,17492.35,17536.4,17449.2,17500.5,1315434787,28012.18
12-JAN-2024,17583.3,17589.55,17511.95,17563.85,1212587120,22512.95
15-JAN-2024,17659.55,17685.8,17537.25,17656.35,1651910396,29371.62
16-JAN-2024,17706.95,17738.25,17453.5,17599.8,2274738364,31371.53
17-JAN-2024,17455.7,17564.35,17331.5,17413.15,2043479248,31310.56
18-JAN-2024,17386.5,17431.5,16978.05,17409.45,1837157949,35326.89
19-JAN-2024,17546.9,17687.2,17508.5,17670.85,1733489616,37812.46
